# key and value surrounded with ""; separator between them is ignored; limited support for escaping characters
"Dundee","Dundee United"
"Duslo Sala","Slovan Duslo Sala"
"Dynamo Kiev","Dynamo Kyiv"
"Eastern AA","Eastern Salon Football Team"
"Eastern Football Team","Eastern Salon Football Team"
"Eastern Salon","Eastern Sports Club"
"E Bamberg", "Eintracht Bamberg"
"EC Vitoria Salvador","Esporte Clube Vitoria Salvador"
"EC XV de Novembro","EC XV de Novembro Piracicaba"
"E Frankfurt", "Eintracht Frankfurt"
"El Palmar CF","Estrella Grana El Palmar CF"
"El Palmar EG","Estrella Grana el Palmar"
"El Raja","Al Ragaa"
"Erzgebirge", "Erzgebirge Aue"
"Erzurum BB", "Erzurum Buyuksehir Belediyespor"
"Esporte Clube Novo","Esporte Clube Novo Hamburgo"
"E Stirling","East Stirlingshire"
"Estudiantes BA","Estudiantes de Buenos Aires"
"Estudiantes Caseros","Estudiantes de Buenos Aires"
"Estudiantes de Caseros","Estudiantes de Buenos Aires"
"Etihad AL Ramtha","Ittihad Al Ramtha"
"Etoile du Sahel","Etoile Sportif du Sahel"
"Etoile Sportive Sahel","Etoile Sportif du Sahel"
"ETSV Weiche", "ETSV Weiche Flensburg"
"Everton VM", "Everton de Vina del Mar"
"EVV", "EVV Echt"
"FAC", "Floridsdorfer AC Team fur Wien"
"FAC Team fur Wien","Floridsdorfer AC Team fur Wien"
"Fagiano O","Fagiano Okayama"
"Far Forced Armee Royale","Forces Armees Royales Rabat"
"FAR Rabat","Forces Armees Royales Rabat"
"FAS","Futbolistas Asociados Santanecos"
"FCM Suceava", "Rapid CFR Suceava"
"Fcm Tirgu Mures","ASA Targu Mures"
"F C Oeste", "Ferro Carril Oeste"
"F Cologne","Fortuna Koln"
"Ferroviaria S A","FERROVIARIA SP"
"FK Samorin","STK 1914 Samorin"
"FK Sered","SKF Sered"
"FK Susa","Shusha FK"
"flamengo pi","flamengo teresina"
"Fluminense","Fluminense Rio de"
"FUS Rabat","Fath Union Sport Rabat"
"GA Eagles", "Go Ahead Eagles"
"Garadag Lokbatan","Qaradag Lokbatan"
"Gaz Buyuksehir","Gaziantep Buyuksehir"
"Gaziantep BB", "Gaziantep Buyuksehir"
"Gaziantep Bld", "Gaziantep Buyuksehir"
"G Chivas", "Guadalajara Chivas"
"Gelios Kharkiv","Helios Kharkiv"
"Genoa 1893","Genoa CFC 1893"
"Genoa CFC","Genoa CFC 1893"
"Geylang United","Geylang International"
"G Furth","Greuther Furth"
"Gimnasia Jujuy", "Gimnasia Esgrima Jujuy"
"Giravanz K", "Giravanz Kitakyushu"
"Girls SA","Girls Soccer Academy"
"G Osaka", "Gamba Osaka"
"Graffin", "Graffin Vlasim"
"Grasshopper Club", "Grasshoppers Zurich"
"Gremio","Gremio Foot Ball Porto Alegrense"
"Grupo Uniao Sport", "Grupo Uniao Sport de Montemor"
"GVI","Gentofte Vangede Idraetsforening"
"G Wejherowo", "Gryf Wejherowo"
"H Akko", "Hapoel Akko"
"Hakoah Ramat Gan","Hakoah Amidar Ramat Gan"
"Hamilton","Hamilton Academical"
"Hangzhou Lvcheng","Hangzhou Greentown"
"Hapoel Kiryat Shmona", "Hapoel Ironi Kiryat Shmona"
"Hapoel Qiryat Shemona","Hapoel Ironi Kiryat Shmona"
"Haras El Hadoo", "Haras El Hodood"
"Herforder Borussia","Herforder SV Borussia Friedenstal"
"Herforder SV","Herforder SV Borussia Friedenstal"
"Hertha","Hertha Berlin"
"H Haifa", "Hapoel Haifa"
"HHC", "HHC Hardenberg"
"H Herzliya","Hapoel Ironi Herzliya"
"HIK", "Hellerup IK"
"HJK", "HJK Helsinki"
"HKFC","Hong Kong"
"H Kiryat Shmona","Hapoel Ironi Kiryat Shmona"
"HK Rangers","Hong Kong Rangers"
"H Morasha R HaSharon","Hapoel Morasha Ramat Hasharon"
"Horizont T","FK Horizont Turnovo"
"Hoverla Zakarpattia","FK Hoverla Uzhhorod"
"H Petach Tikva","Hapoel Petah Tikva"
"H Qiryat Shemona","Hapoel Ironi Kiryat Shmona"
"H Raanana", "Hapoel Raanana"
"H Rishon Lezion","Hapoel Rishon Lezion"
"HUSA Agadir","Hassania Union Sport Agadir"
"Husa Hassania","Hassania Union Sport Agadir"
"H Z Uzh","Hoverla Uzhhorod"
"H Z Uzh U19","Hoverla Uzhgorod U19"
"Idare Genclik","Bayburt Grup Il Ozel Idare Genclik"
"Illichivec","Illichivets Mariupol"
"Illichivets U19","Illichivets Mariupol U19"
"Illychivets","Illichivets Mariupol"
"Il Mariupol", "Illichivets Mariupol"
"Ind Medellin","Independiente Medellin"
"Institucion", "Institucion Sud America"
"Internacional PA","Internacional Porto Alegre"
"Internacional Porto","Internacional Porto Alegre"
"Inverness CT","Inverness Caledonian Thistle"
"Inverness","Inverness Caledonian Thistle"
"Ireland","Republic of Ireland"
"I Rivadavia", "Independiente Rivadavia"
"Ironi Kiryat Gat","Maccabi Kiryat Gat"
"Ironi Ramat HaSharon","Hapoel Nir Ramat Hasharon"
"Ironi Rishon Lezion","Hapoel Ironi Rishon Lezion"
"Istanbul BB", "Istanbul Basaksehir"
"Itagui Ditares","Aguilas Doradas Pereira"
"Itihad Khemisset","Ittihad Zemmouri Khemisset"
"Ittihad", "Ittihad Kalba"
"Ittihad Khemisset","Ittihad Zemmouri Khemisset"
"Izk Itihad Z Khemisset","Ittihad Zemmouri Khemisset"
"Jag Bialystock", "Jagiellonia Bialystock"
"Jalgpallikool Tammeka","Jalgpallikool Tammeka Tartu"
"Jammerbught","Jammerbugt"
"Jeonbuk Motors","Jeonbuk Hyundai Motors"
"J Feyenoord Excel","Jong Feyenoord Excelsior"
"Jiangsu Sainty","Jiangsu Guoxin Sainty"
"Jiangsu Shuntian","Jiangsu Guoxin Sainty"
"JJK", "JJK Jyvaskyla"
"Johvi JK Orbiit","Lokomotiv Johvi"
"Jong Graafschap","Jong De Graafschap"
"Jong Heerenveen Emmen","Jong SC Heerenveen Emmen"
"Jong NEC Oss","Jong NEC Nijmegen Oss"
"Jong Roda JC","Jong Roda JC Kerkrade"
"Jong Sparta","Jong Sparta Rotterdam"
"Jong Willem","Jong Willem Tilburg"
"Jose Teran", "Independiente del Valle"
"Juazeirense","Sociedade Desportiva Juazeirense"
"Jubilo I", "Jubilo Iwata"
"Kalba","Al Ittihad Kalba"
"Kalcer Vodoterm","NK Kalcer Vodoterm Radomlje"
"Kanazawa","Zweigen Kanazawa"
"Kataller T", "Kataller Toyama"
"Kawkab Marrakech","Kawkab Athletic Club de Marrakech"
"Kenkre","Kenkre Mumbai"
"K Erciyesspor","Kayseri Erciyesspor"
"Khazar Lenkoran","Khazar Lankaran"
"KINDERMANN","AE Kindermann"
"King s Lynn","Kings Lynn"
"Kivioli Tamme Auto","Kivioli Irbis"
"Kolding BK", "Kolding Boldklub"
"Korea Rep Uni Sel","Korea Republic University"
"kpv ii","kpv kokkola ii"
"Kremin","Kremin Kremenchuk"
"Kromeriz","SK Hanacka Slavia Kromeriz"
"Kryliya Sovetov","Krylia Sovetov Samara"
"krylya sovetov","Krylia Sovetov Samara"
"KSV 1919", "KSV Superfund"
"kapfenberger", "KSV Superfund"
"KuPS", "Kuopion Palloseura"
"LA Galaxy", "Los Angeles Galaxy"
"La Piedad","La Piedad Veracruz"
"Larisa AEL","Larissa AEL"
"LDU","Liga Deportiva Universitaria"
"LDU Loja","Liga Deportiva Universitaria de Loja"
"LDU Quito", "Liga Deportiva Universitaria de Quito"
"Lechia","Lechia Gdansk"
"Leones Negros", "Club Leones Negros Universidad de Guadalajara"
"Leverkusen","Bayer 04 Leverkusen"
"LHospitalet","L Hospitalet"
"Liaoning Hongyun","Liaoning Whowin"
"Liga de Loja","Liga Deportiva Universitaria de Loja"
"Liga Loja","Liga Deportiva Universitaria de Loja"
"Linense SP","Atletico Linense SP"
"Lokomotiv Bilacari FK","Lokomotiv Bilajary FK"
"Lokomotiv Gorna","Lokomotiv Gorna Oryahovitsa"
"Lok Sofia", "Lokomotiv Sofia"
"Lok Zagreb", "Lokomotiva Zagreb"
"Lolland Falster Alliancen","Nykobing"
"London Bees LFC","Barnet London Bees LFC"
"LSK Kvinner","LSK Kvinner Lillestrom"
"LSK Lillestrom", "LSK Kvinner Lillestrom"
"Luch Energiya","Luch Energiya Vladivostok"
"Maccabi Akhi Nazareth","Maccabi Ahi Nazareth"
"Maccabi Haifa Youth","Maccabi Haifa Shmuel U19"
"Maccabi Kiryat Malachi","Maccabi Ironi Kiryat Malakhi"
"Maccabi Kishronot","Maccabi Kishronot Hadera"
"Maghreb Fes","Maghreb Association Sportive de Fez"
"Maghrib A Fes","Maghreb Association Sportive de Fez"
"Maghrib Association Tetouan","Moghreb Athletic de Tetouan"
"Maghrib Tetouan","Moghreb Athletic de Tetouan"
"Maj Cernova", "Maj Ruzomberok Cernova"
"Man City","Manchester City"
"Manshia Bani Hassan","Mansheyat Bani Hasan"
"Mas Maghrib","Maghreb Association Sportive de Fez"
"Matchak Khelvachauri","Matchakhela Khelvachauri"
"MAT Tetouan","Moghreb Athletic de Tetouan"
"Mersin IY","Mersin Idman Yurdu"
"Metallurg Zaporizhya", "Metalurg Zaporizhya"
"Metalurg Z", "Metalurg Zaporizhya"
"Met Donetsk", "Metalurg Donetsk"
"Met Police","Metropolitan Police"
"Met Zaporizhya", "Metalurg Zaporizhya"
"Mezokovesdi", "Mezokovesd Zsory SE"
"Mezokovesd SE","Mezokovesd Zsory SE"
"MFK Karvina","MFK OKD Karvina"
"Mik Cm Celje","NK Celje"
"Mil Mughan","Mil Mugan"
"mineros guayana ii","mineros de guayana ii"
"M Ironi Amishav PT","Maccabi Ironi Amishav"
"Mito H", "Mito HollyHock"
"M Kishronot Hadera","Maccabi Kishronot Hadera"
"mks miedz","mks miedz legnica"
"M Morelia", "Monarcas Morelia"
"M Netanya","Maccabi Netanya"
"Moadon Sport Shikun","Moadon Sport Shikun HaMizrah"
"Montedio Y","Montedio Yamagata"
"Moqawloon", "Moqawloon Arab Contractors"
"Mouscron Peruwelz Youth","Royal Mouscron Peruwelz Youth"
"MSK Rimav Sobo", "MSK Rimavska Sobota"
"MTK Hungaria","MTK Budapest Hungaria"
"MTK", "MTK Budapest Hungaria"
"Municipal La Pintana","Deportes La Pintana"
"Muni de Pere Zel","Municipal de Perez Zeledon"
"Naftoon","Naftoon Tehran"
"Napredak","Napredak Krusevac"
"Newells","Newell s Old Boys"
"Newell s OB","Newell s Old Boys"
"Niort", "Chamois Niort"
"Niva Ternopol","Nyva Ternopil"
"NK Radomlje","NK Kalcer Vodoterm Radomlje"
"Nomme JK Kalju","Nomme Kalju"
"Nove M Vahom","Nove Mesto Nad Vahom"
"Novo Hamburgo","Esporte Clube Novo Hamburgo"
"Nsc Minnesota Stars","Nsc Minnesota United Stars"
"NYC","New York City"
"NY Cosmos","New York Cosmos"
"OB", "Odense Boldklub"
"OC Khouribga","Olympique Club of Khouribga"
"OCK Khouribga","Olympique Club of Khouribga"
"Odd Grenland","Odds Ballklubb"
"Odd","Odds Ballklubb"
"Odense BK", "Odense Boldklub"
"Odesa","Odessa"
"Odessa U19","Chernomorets Odessa U19"
"OFI", "OFI Crete"
"OH Leuven", "Oud Heverlee Leuven"
"Oks 1945 Olsztyn","OKS Stomil Olsztyn"
"Ol de Khouribga","Olympique Club of Khouribga"
"Ol Donetsk", "Olimpik Donetsk"
"Olimpik D Donetsk","Olimpik Donetsk"
"Olimp Ljubljana", "Olimpija Ljubljana"
"Olympic Safi","Olympic Club de Safi"
"Olympique de Safi","Olympic Club de Safi"
"PAE Alimos","AOT Alimos"
"PAE Kerkira", "AOK Kassiopi Kerkyra"
"Paide LM","Paide Linnameeskond"
"Palhalma Agrospecial SE","Dunaujvaros Palhalma Agrospecial SE"
"Paris St G","Paris Saint Germain"
"Part Belgrade", "Partizan Belgrade"
"Partick U20","Partick Thistle U20"
"Patro Eisden", "Patro Eisden Maasmechelen"
"Pecsi MFC","Pecsi Mecsek"
"Pelita Raya", "Pelita Bandung Raya"
"Pena Deportiva", "Pena Deportiva Santa Eulalia"
"Penarol La Mesilla","Halcones"
"pk 35 women","pk 35 vantaa women"
"Podbeskidz BB","TS Podbeskidzie Bielsko Biala"
"Podbeskidzie B B", "TS Podbeskidzie Bielsko Biala"
"policia s publica","policia de seguranca publica"
"Polideportivo Ejido","CD El Ejido 2012"
"P Ploiesti", "Petrolul Ploiesti"
"Prainsa Zaragoza","CD Transportes Alcaine"
"PSG","Paris Saint Germain"
"PSV", "PSV Eindhoven"
"Puskas Academia","Puskas Ferenc Akademia"
"Qabala","Gabala"
"Qoqon 1912","Kokand 1912"
"QOS","Queen of the South"
"QPR","Queens Park Rangers"
"Queen the South","Queen of the South"
"Rad","FK Rad Beograd"
"Radnicki 1923","Radnicki Nis 1923"
"Radnicki Nis","Radnicki Nis 1923"
"Radnicki","Radnicki 1923"
"Rakvere Tarvas",""Rakvere JK Tarvas
"Rangsit Univ JW","Rangsit University JW"
"Rapid Suceava","Rapid CFR Suceava"
"Ras Al Khaimah", "Ras Al Khaimah Emirates Club"
"RBD Borinage","Seraing United"
"RC Arba","RC Arbaa"
"RC Villalbes","Racing Club Villalbes"
"Real Esppor Club","Deportivo La Guaira"
"Real Racing Club","Real Racing Club de Santander"
"Rep Ireland","Republic of Ireland"
"Rep of Ireland","Republic of Ireland"
"Rep Of Macedonia","FYR Macedonia"
"RE Virton","Royal Excelsior Virton"
"RFC Seresien","Seraing United"
"R mouscron Peruwelz","Royal Mouscron Peruwelz"
"Roasso K", "Roasso Kumamoto"
"Ross Co","Ross County"
"R Santander", "Racing Santander"
"Rustavi","Metallurg Rustavi"
"RW Essen", "Rot Weiss Essen"
"Sagan T", "Sagan Tosu"
"Sakartvelos Tek Tbilisi","Sakartvelos Teknikuri Universiteti Tbilisi"
"Samara Kryliya","Krylia Sovetov Samara"
"samara kryliya sovetov","Krylia Sovetov Samara"
"Sanatatea Cluj","Sanatatea Servicii Publice Cluj"
"San Marcos", "San Marcos Arica"
"San Sebastian Reyes","UD San Sebastian de los Reyes"
"Santander II","Real Racing Club de Santander II"
"Santa Teresa CD","CD Santa Teresa"
"Sao Jose RS","EC Sao Jose Porto Alegre RS"
"SBV", "SBV Excelsior"
"Scholz Grodig","SV Grodig"
"SCR Altach","Cashpoint SC Rheindorf Altach"
#"SCR Altach","SC Rheindorf Altach"
"S D E Belediyespor","Sivas Dort Eylul Belediyespor"
"SG E Frankfurt","SG Eintracht Frankfurt"
"SGS Essen","SG Essen Schonebeck"
"Shabab Al Amari","Markaz Shabab Al Am ari"
"Shakhtar","Shakhtar Donetsk"
"Shanghai East Asia","Shanghai SIPG"
"Shikun HaMizrah","Moadon Sport Shikun HaMizrah"
"Shirak","Shirak Gyumri"
"Sh Karagandy", "Shakhter Karagandy"
"Singapore Armed Forces","Warriors Singapore"
"Sioni Bolsini","Sioni Bolnisi"
"Sivas Belediyespor","Sivas Dort Eylul Belediyespor"
"SJK","Seinajoen JK"
"SKA Energiya", "Energiya Khabarovsk"
"S Kalev", "Sillamae Kalev"
"SK Dynamo Ceske","SK Dynamo Ceske Budejovice"
"SK Hanacka Slavia","SK Hanacka Slavia Kromeriz"
"SK Sered","SKF Sered"
"SL de Quillota", "San Luis de Quillota"
"Sogdiana Jizak","Sogdiana Jizzakh"
"Sogdiyona Jizzax","Sogdiana Jizzakh"
"Solaris","Solyaris Moscow"
"soproni vasutas se","Soproni Vasutas Sportegylet"
"soproni vse","Soproni Vasutas Sportegylet"
"Spartak Subotica","FK Spartak Zlatibor Voda"
"Spartak Zlatibor Voda","FK Spartak Zlatibor Voda"
"Spartak Su","FK Spartak Zlatibor Voda"
"Sp Lisbon", "Sporting Lisbon Clube de Portugal"
"Sporting de Huelva","Sporting Club de Huelva"
"Sporting Goa","Sporting Clube de Goa"
"Sporting Lisbon","Sporting Lisbon Clube de Portugal"
"Sporting L","Sporting Lisbon Clube de Portugal"
"Sportive Rabat","Fath Union Sport Rabat"
"Sp Semey","Spartak Semey"
"Stal Dniprod", "Stal Dnipropetrovsk"
"Steaua Buch", "Steaua Bucuresti"
"St Gillis", "Sint Gillis"
"STU Tbilisi","Sakartvelos Teknikuri Universiteti Tbilisi"
"Stuttgart Kickers", "Stuttgarter Kickers"
"Suduva","Suduva Marijampole"
"Suwon Bluewings","Suwon Samsung Bluewings"
"SV Darmstadt","SV Darmstadt 98"
"SV Ried","SV Josko Ried"
"Svse Gysev","Soproni VSE"
"S Wanderers", "Santiago Wanderers"
"SW Rehden","BSV Rehden"
"Teteks","Teteks Tetovo"
"Thespa Kusatsu","Thespakusatsu Gunma"
"Torpedo BelAZ","Torpedo BelAZ Zhodino"
"Torpedo Zhodino","Torpedo BelAZ Zhodino"
"tps women","tps turku women"
"Trenkwalder Admira","Trenkwalder Admira Wacker Modling"
"TS Podbeskidzie","TS Podbeskidzie Bielsko Biala"
"TSV Munich 1860","TSV 1860 Munchen"
"TSW Pegasus","Sun Pegasus"
"T T Ha Noi","Ha Noi T"
"TTM Lopburi","TTM Customs"
"TTM","TTM Customs"
"Turnovo","Horizont Turnovo"
"U A E","U A Emirates"
"UAE","U A Emirates"
"UB Lebrijana","Union Balompedica Lebrijana"
"UCD", "UC Dublin"
"U Cluj","Universitatea Cluj"
"U Craiova","Universitatea Craiova"
"ucr","universidad de costa rica"
"U de Chile","Universidad de Chile"
"U de Sucre", "Universitario de Sucre"
"UES","Universidad de El Salvador"
"U Murcia", "UCAM Murcia"
"UN Catoli", "Univ Catolica"
"Uniautonoma","Universidad Autonoma del Caribe"
"Uni Cluj", "Universitatea Cluj"
"Uni Craiova","Universitatea Craiova"
"Uni de Guadalajara", "Club Leones Negros Universidad de Guadalajara"
"Union Balompedica","Union Balompedica Lebrijana"
"Union B Lebrijana","Union Balompedica Lebrijana"
"Uni San Martin","Universidad San Martin de Porres"
"Univ Alexandria","Universitatea Alexandria"
"universi de costa rica","universidad de costa rica"
"Universidad de San Martin","Universidad San Martin de Porres"
"Universitario UAP","Universitario De Pando"
"U Popayan", "Uni de Popayan"
"Ur d Coronado", "Uruguay de Coronado"
"Urk", "SV Urk"
"USK Anif","Liefering"
"Utd Manchester","United Manchester"
"fcv","fcv v"
"Vaajakoski","FCV Vaajakoski"
"Vegalta S", "Vegalta Sendai"
"Ventforet K", "Ventforet Kofu"
"Viitorul Muni Craiova","Viitorul Municipal Craiova"
"Virtus Lanciano","Virtus Lanciano 1924"
"Vissel K", "Vissel Kobe"
"Vitoria BA","Vitoria Salvador"
"Vitoria","Vitoria Salvador"
"V Mezinici", "Velke Mezirici"
"Volgar Astrakhan", "Volgar Gazprom Astrakhan"
"Vorskla", "Vorskla Poltava"
"VPS", "Vaasan Palloseura"
"V Varen", "V Varen Nagasaki"
"VVV","VVV Venlo"
"Waldhof Mannheim","SV Waldhof Mannheim"
"Washington DC","Washington DC Utd"
"W B A", "West Bromwich Albion"
"W Bremen","Werder Bremen"
"West Brom", "West Bromwich Albion"
"White Star Woluwe","Royal White Star Bruxelles"
"Wil","Wil 1900"
"Wong Tai Sin District","Wong Tai Sin DRSC"
"Wong Tai Sin DR","Wong Tai Sin DRSC"
"Wood Well", "Woodlands Wellington"
"W Sydney", "West Sydney"
"Wuppertaler","Wuppertaler SV"
"Yenisey","Yenisey Krasnoyarsk"
"Yokohama HK","Yokohama Hong Kong"
"Zakinthos","Zakynthos"
"Zlin","Tescoma Zlin"
"Z Michalovce","Zemplin Michalovce"
"Zwiegen K","Zweigen Kanazawa"
"ghazi el mehalla","Ghazl El Mahalla"
"ghazl al mehalla","Ghazl El Mahalla"
"el mahallah","Ghazl El Mahalla"
"vestmannaeyjar","ibv Vestmannaeyja"
"ibv","ibv v"
"hjk helsinki ii", "klubi 04"
"esan united","sisaket"
"maziya sports","maziya s and rc"
"torpedo moscow","torpedo moskva"
"al quwa al jawiya","al quwa al jawiya air force club"
"al arouba","al oruba"
"Slavutych Cherkasy","Cherkaskyi Dnipro"
"kauno zalgiris","kauno zalgiris kaunas"
"fk spyris kaunas","kauno zalgiris kaunas"
"tekstilshchik","tekstilshchik ivanovo"
"tekstilshik ivanovo","tekstilshchik ivanovo"
"vasco de gama u20","vasco da gama u20"
"thor ka","thor akureyri women"
"sk rapid","sk rapid vienna"
"kf","kf fjallabyggd"
"Harrisburg","Penn FC"
"Shan East Asia","Shanghai SIPG"
"Ferrov S A","FERROVIARIA SP"
"Uni Sucre","Universitario Sucre"
"Universi Sucre","Universitario Sucre"
"JDT II","Johor Darul Takzim II"
"Swindon S","Swindon Supermarine"
"Swindon","Swindon Town"
"AA Flem G","AA Flamengo Guarulhos"
"Inter T ll","Inter Turku II"
"Villefrenche","Villefranche Beaujolais"
"E de Caracas","Estudiantes de Caracas"
"Hardec U21","Hradec Kralove U21"
"B Munchen","Bayern Munchen"
"Ger U20","Germany U20"
"S Laguna","Santos Laguna"
"Oli Cruz","Olimpia Cluj"
"Slovan U2","Slovan Liberec U21"
"Rods JC","Roda JC Kerkrade"
"Paide Linnamee","Paide Linnameeskond"
"M Boro U23","Middlesbrough U23"
